molecule_chembl_id;canonical_smiles;standard_value;bioactivity_class
CHEMBL1161639;O=C(O)C[C@H](O)C[C@H](O)/C=C/n1c(C(F)(F)F)nc(-c2ccc(F)cc2)c1-c1ccc(F)cc1;7.89;active
CHEMBL1161643;Cc1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O;7.0;active
CHEMBL1161648;CC(C)(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O;8.15;active
CHEMBL1161652;CN(C)c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O;8.04;active
CHEMBL1161656;CC(C)c1c(-c2ccc(F)cc2)nc(-c2ccc(F)cc2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O;9.0;active
CHEMBL1161660;CC(C)c1nc(-c2ccc(F)cc2)c(-c2cccc(Cl)c2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O;8.1;active
CHEMBL1161664;CC(C)c1nc(-c2ccc(F)cc2)c(-c2cc(Cl)cc(Cl)c2)n1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O;7.66;active
CHEMBL1161640;Cc1cc(C)cc(-c2c(-c3ccc(F)cc3)nc(C(C)C)n2/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1;7.25;active
CHEMBL1064;CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21;49.0;active
CHEMBL391002;CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c(-c2ccccc2)c1C(=O)N(C)Cc1ccccc1;3.0;active
CHEMBL387514;CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c1C(=O)N(Cc1ccccc1)CCC2.[Na+];3.5;active
CHEMBL228955;CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c1C(=O)N(c1ccccc1)CCC2.[Na+];0.3;active
CHEMBL228954;CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c3ccccc3[nH]c(=O)c21.[Na+];11.7;active
CHEMBL389443;CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c3ccccc3n(Cc3ccc(F)cc3)c(=O)c21.[Na+];4.7;active
CHEMBL228583;CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c3ccccc3n(Cc3cccc(F)c3)c(=O)c21.[Na+];37.4;active
CHEMBL389442;CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c3ccccc3n(Cc3ccccc3F)c(=O)c21.[Na+];3.0;active
CHEMBL389441;CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c3ccccc3n(Cc3ccccc3)c(=O)c21.[Na+];13.9;active
CHEMBL389217;CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c3ccccc3n(-c3ccc(F)cc3)c(=O)c21.[Na+];16.4;active
CHEMBL389216;CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c3ccccc3n(-c3cccc(Cl)c3)c(=O)c21.[Na+];2.9;active
CHEMBL228528;CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c3ccccc3n(-c3cccc(F)c3)c(=O)c21.[Na+];1.9;active
CHEMBL228667;CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c1C(=O)N(c1ccccc1)Cc1ccccc1-2.[Na+];9.6;active
CHEMBL438662;CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c2c3ccccc3n(-c3ccccc3)c(=O)c21.[Na+];16.7;active
CHEMBL389002;CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c(-c2ccc(F)cc2)c1C(=O)Nc1ccccc1;1.8;active
CHEMBL1064;CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21;49.0;active
CHEMBL250707;CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(-c2ccccc2)c1C(=O)NC1CC1.[Na+];3.8;active
